range_m,elev_mil,time_flight_s,delta_elev_per_100m_mil,time_flight_per_100m_s
300,1534,31.7,12,
400,1511,31.6,11,
500,1489,31.6,12,0.1
600,1466,31.5,12,0.1
700,1442,31.4,12,0.1
800,1419,31.3,12,0.1
900,1395,31.1,13,0.1
1000,1370,31.0,13,0.1
1100,1344,30.8,13,0.1
1200,1318,30.6,13,0.1
1300,1291,30.3,14,0.1
1400,1263,30.1,15,0.2
1500,1233,29.7,15,0.1
1600,1202,29.4,16,0.2
1700,1169,29.0,17,0.2
1800,1133,28.5,19,0.2
1900,1094,28.0,21,0.3
2000,1051,27.3,26,0.4
2100,999,26.5,31,0.5
2200,931,25.3,46,0.9
2300,801,22.7,,
